Man Booker Prize,2001,Fiction,Atonement,Ian McEwan,,
Man Booker Prize,2000,Fiction,English Passengers,Matthew Kneale,,
Man Booker Prize,1998,Fiction,"England, England",Julian Barnes,,
Man Booker Prize,1996,Fiction,A Fine Balance,Rohinton Mistry,,
Man Booker Prize,1999,Fiction,Disgrace,J. M. Coetzee,,
Man Booker Prize,1998,Fiction,Master Georgie,Beryl Bainbridge,,
Man Booker Prize,2001,Fiction,True History of the Kelly Gang,Peter Carey,,
Man Booker Prize,2000,Fiction,When we were Orphans,Kazuo Ishiguro,,
Man Booker Prize,1996,Fiction,Alias Grace,Margaret Atwood,,
Man Booker Prize,1990,Fiction,Amongst Women,John McGahern,,
Man Booker Prize,1998,Fiction,Amsterdam,Ian McEwan,,
Man Booker Prize,1990,Fiction,An Awfully Big Adventure,Beryl Bainbridge,,
Man Booker Prize,1994,Fiction,Beside the Ocean of Time,George Mackay Brown,,
Man Booker Prize,1992,Fiction,Black Dogs,Ian McEwan,,
Man Booker Prize,1998,Fiction,Breakfast on Pluto,Patrick McCabe,,
Man Booker Prize,1993,Fiction,Crossing the River,Caryl Phillips,,
Man Booker Prize,1992,Fiction,Daughters of the House,Michèle Roberts,,
Man Booker Prize,1997,Fiction,Europa,Tim Parks,,
Man Booker Prize,1996,Fiction,Every Man for Himself,Beryl Bainbridge,,
Man Booker Prize,1999,Fiction,"Fasting, Feasting",Anita Desai,,
Man Booker Prize,1997,Fiction,Grace Notes,Bernard MacLaverty,,
Man Booker Prize,1999,Fiction,Headlong,Michael Frayn,,
Man Booker Prize,2001,Fiction,Hotel World,Ali Smith,,
Man Booker Prize,1994,Fiction,"How Late It Was, How Late",James Kelman,,
Man Booker Prize,1995,Fiction,In Every Face I Meet,Justin Cartwright,,
Man Booker Prize,1994,Fiction,Knowledge of Angels,Jill Paton Walsh,,
Man Booker Prize,1996,Fiction,Last Orders,Graham Swift,,
Man Booker Prize,1990,Fiction,Lies of Silence,Brian Moore,,
Man Booker Prize,1995,Fiction,Morality Play,Barry Unsworth,,
Man Booker Prize,2001,Fiction,number9dream,David Mitchell,,
Man Booker Prize,1999,Fiction,Our Fathers,Andrew O’Hagan,,
Man Booker Prize,2001,Fiction,Oxygen,Andrew Miller,,
Man Booker Prize,1993,Fiction,Paddy Clarke Ha Ha Ha,Roddy Doyle,,
Man Booker Prize,1994,Fiction,Paradise,Abdulrazak Gurnah,,
Man Booker Prize,1990,Fiction,Possession,A. S. Byatt,,
Man Booker Prize,1997,Fiction,Quarantine,Jim Crace,,
Man Booker Prize,1996,Fiction,Reading in the Dark,Seamus Deane,,
Man Booker Prize,1991,Fiction,Reading Turgenev (from Two Lives),William Trevor,,
Man Booker Prize,1994,Fiction,Reef,Romesh Gunesekera,,
Man Booker Prize,1993,Fiction,Remembering Babylon,David Malouf,,
Man Booker Prize,1992,,Sacred Hunger,Barry Unsworth,,
Man Booker Prize,1993,,Scar Tissue,Michael Ignatieff,,
Man Booker Prize,1992,,Serenity House,Christopher Hope,,
Man Booker Prize,1990,,Solomon Gursky Was Here,Mordecai Richler,,
Man Booker Prize,1991,,Such a Long Journey,Rohinton Mistry,,
Man Booker Prize,1999,,The Blackwater Lightship,Colm Toibin,,
Man Booker Prize,2000,,The Blind Assassin,Margaret Atwood,,
Man Booker Prize,1992,,The Butcher Boy,Patrick McCabe,,
Man Booker Prize,2001,,The Dark Room,Rachel Seiffert,,
Man Booker Prize,2000,,The Deposition of Father McGreevy,Brian O’Doherty,,
Man Booker Prize,1992,,The English Patient,Michael Ondaatje,,
Man Booker Prize,1997,,The Essence of the Thing,Madeleine St John,,
Man Booker Prize,1991,,The Famished Road,Ben Okri,,
Man Booker Prize,1994,,The Folding Star,Alan Hollinghurst,,
Man Booker Prize,1990,,The Gate of Angels,Penelope Fitzgerald,,
Man Booker Prize,1995,,The Ghost Road,Pat Barker,,
Man Booker Prize,1997,,The God of Small Things,Arundhati Roy,,
Man Booker Prize,2000,,The Hiding Place,Trezza Azzopardi,,
Man Booker Prize,1998,,The Industry of Souls,Martin Booth,,
Man Booker Prize,2000,,The Keepers of Truth,Michael Collins,,
Man Booker Prize,1999,,The Map of Love,Ahdaf Soueif,,
Man Booker Prize,1995,,The Moor’s Last Sigh,Salman Rushdie,,
Man Booker Prize,1996,,The Orchard on Fire,Shena Mackay,,
Man Booker Prize,1991,,The Redundancy of Courage,Timothy Mo,,
Man Booker Prize,1998,,The Restraint of Beasts,Magnus Mills,,
Man Booker Prize,1995,,The Riders,Tim Winton,,
Man Booker Prize,1993,,The Stone Diaries,Carol Shields,,
Man Booker Prize,1997,,The Underground Man,Mick Jackson,,
Man Booker Prize,1991,,The Van,Roddy Doyle,,
Man Booker Prize,1991,,Time’s Arrow,Martin Amis,,
Man Booker Prize,1993,,Under the Frog,Tibor Fischer,,
The Economist,2005,Nonfiction,Against the Flow,Samuel Brittan,,
The Economist,2012,Nonfiction,Great Houses of London,James Stourton,,
The Economist,2008,Nonfiction,"Salon to Biennial: Exhibitions that Made Art History: Volume I, 1863-1959",Bruce Altshuler,,
The Economist,2006,Nonfiction,A Royal Affair: George III and his Scandalous Siblings ,Stella Tillyard,,
The Economist,2004,Nonfiction,Alexander Hamilton,Ron Chernow,,
The Economist,2006,Nonfiction,Alexis de Tocqueville: Prophet of Democracy in the Age of Revolution ,Hugh Brogan,,
The Economist,2007,Nonfiction,Beatrix Potter: A Life in Nature,Linda Lear,,
The Economist,2003,Nonfiction,Beautiful Shadow: A Life of Patricia Highsmith,Andrew Wilson.,,
The Economist,2008,Nonfiction,Chagall: A Biography,Jackie Wullschlager,,
The Economist,2007,Nonfiction,Edith Wharton,Hermione Lee,,
The Economist,2003,Nonfiction,Franklin Delano Roosevelt: Champion of Freedom, Conrad Black,,
The Economist,2005,Nonfiction,Gannibal: The Moor of Petersburg,Hugh Barnes,,
The Economist,2007,Nonfiction,God's Architect: Pugin and the Building of Romantic Britain,Rosemary Hill,,
The Economist,2003,Nonfiction,Governor Reagan: His Rise to Power,Lou Cannon,,
The Economist,2003,Nonfiction,Goya,Robert Hughes,,
The Economist,2002,Nonfiction,Interesting Times: A Twentieth-Century Life,Eric Hobsbawn,,
The Economist,2005,Nonfiction,Mao: The Unknown Story,Jung Chang,Jon Halliday,
The Economist,2002,Nonfiction,Mapping Lives: The Uses of Biography,Peter France ,William St Clair,
The Economist,2002,Nonfiction,Master of the Senate: The Years of Lyndon Johnson,Robert A. Caro,,
The Economist,2005,Nonfiction,"Matisse the Master- A Life of Henri Matisse: The Conquest of Colour, 1909-1954",Hilary Spurling,,
The Economist,2006,Nonfiction,Mellon: An American Life ,David Cannadine,,
The Economist,2008,Nonfiction,Nixonland: The Rise of a President and the Fracturing of America,Rick Perlstein,,
The Economist,2006,Nonfiction,Passionate Minds: The Great Love Affair of the Enlightenment ,David Bodanis,,
The Economist,2002,Nonfiction,Pushkin: A Biography,T.J. Binyon,,
The Economist,2008,Nonfiction,Soul of the Age: A Biography of the Mind of William Shakespeare,Jonathan Bate,,
The Economist,2007,Nonfiction,Stanley: The Impossible Life of Africa's Greatest Explorer,Tim Jeal,,
The Economist,2004,Nonfiction,The Architect King: George III and the Culture of the Enlightenment,David Watkin,,
The Economist,2006,Nonfiction,The Life of George Mackay Brown: Through the Eye of a Needle ,Maggie Fergusson,,
The Economist,2003,Nonfiction,The Majesty of the Law: Reflections of a Supreme Court Justice,Sandra Day O'Connor,,
The Economist,2005,Nonfiction,"The Prince of the City: Giuliani, New York and the Genius of American Life",Fred Siegel.,,
